"Reporting starts","Reporting ends","Campaign name","Campaign delivery","Attribution setting",Results,"Result indicator",Reach,Frequency,"Cost per results","Ad set budget","Ad set budget type","Amount spent (USD)",Ends,Impressions,"CPM (cost per 1,000 impressions) (USD)","Link clicks",shop_clicks,"CPC (cost per link click) (USD)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all) (USD)","Landing page views","Cost per landing page view (USD)"
2026-01-01,2026-02-18,"ESM - Website Lead Campaign – 1",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"ESM - Website Lead Campaign – 2",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"ESM - Awareness Ads - FL ONLY",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"ESM  - Conversion Campaign",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"ESM - FB Leads - 1 Step Form",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Free Workshop - The Vault Retargeting",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"MB* - Entreprenuers (USA) - Value #1 - Y - E-Book Funnel",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"MB* - NO Targeting (USA) - Value #1 - Y - E-Book Funnel",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"MB* - NO Targeting (USA) - Value #1 - B - E-Book Funnel",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"MB* - Biz Owners, Experts & Prof - Value #1 - Y - E-Book Funnel",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"MB* - Biz Owners, Experts & Prof - Value #1 - B - E-Book Funnel",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"MB* - Speakers - Value #1 - Y - E-Book Funnel",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"MB* - Speakers - Value #1 - B - E-Book Funnel",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"MB* - T - All WARM Audiences (A+) - Value #1 - Y - E-Book Funnel",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"MB* - T - All WARM Audiences - Value #1 - Y - E-Book Funnel",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"MB* - T - Event Planners (A+) - Value #1 - Y - E-Book Funnel",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"MB* - All WARM Audiences - Value #1 - B - E-Book Funnel",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"MB* - T - No Targeting (A+) - Value #1 - Y - E-Book Funnel",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"MB* - T - No Targeting (A+) - Value #1 Shorter - Y - E-Book Funnel",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"MB* - T - All Warm Audiences - Value #1 Shorter - E-Book Funnel",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"MB* - T - Watched 50% to 95% Vids Past Year - Value #1 Shorter - E-Book Funnel",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"LD | Brians Event | Leads | 10-04-24",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"MB - ESM Ads (DM) - WARM Audience Blend",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"MB - ESM Ads (Landing Page) - WARM Audience Blend",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"MB - Web. Vis. 6 Months - NEW Event Flyer (ESM Site)",inactive,-,,,0,0,,20,Daily,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"MB - ESM Ads (Landing Page) - COLD - NO Targeting",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"MB - ESM Ads (Landing Page) - Event Planners",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Butts In Seats - Leads Ads - Top Preforming Ads",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"BIS - DM Ads - COLD Audiences",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"BIS - Lead Ads - VSL",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Campaign #3 - DM Chat Conversions",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"NEW - Coaches/Consultants  - Pace Morby (ESM Site)",inactive,-,,,0,0,,10,Daily,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"NEW - Coaches/Consultants (A+) - Pace Morby (ESM Site)",inactive,-,,,0,0,,10,Daily,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"MB - Coaches/Consultants - Announcement - Short (ESM Site)",inactive,-,,,0,0,,10,Daily,0,Ongoing,0,0,,,,,0,0,0,,
