"Reporting starts","Reporting ends","Ad name","Ad delivery","Attribution setting",Results,"Result indicator",Reach,Frequency,"Cost per results","Ad set budget","Ad set budget type","Amount spent (USD)",Ends,"Quality ranking","Engagement rate ranking","Conversion rate ranking",Impressions,"CPM (cost per 1,000 impressions) (USD)","Link clicks",shop_clicks,"CPC (cost per link click) (USD)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all) (USD)","Landing page views","Cost per landing page view (USD)"
2026-01-01,2026-02-18,Alanna,not_delivering,"7-day click, 1-day view, or 1-day engaged-view",1,actions:offsite_conversion.custom.26020366324235150,1238,1.343296,72.03,10,Daily,72.03,Ongoing,-,-,-,1663,43.313289,30,,2.401,1.803969,50,3.006615,1.4406,25,2.8812
2026-01-01,2026-02-18,Ajay,not_delivering,"7-day click, 1-day view, or 1-day engaged-view",,,21,1.047619,,10,Daily,1.8,Ongoing,-,-,-,22,81.818182,,,,,0,0,0,,
2026-01-01,2026-02-18,"Peter Snelle",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",,,3,1,,10,Daily,0.34,Ongoing,-,-,-,3,113.333333,,,,,0,0,0,,
2026-01-01,2026-02-18,"David Testimonial",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",,,57,1.017544,,10,Daily,3.38,Ongoing,-,-,-,58,58.275862,2,,1.69,3.448276,2,3.448276,1.69,2,1.69
2026-01-01,2026-02-18,"Sizzle #3",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",,,25,1,,10,Daily,0.68,Ongoing,-,-,-,25,27.2,,,,,0,0,0,,
2026-01-01,2026-02-18,"Sizzle #2",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",,,8,1,,10,Daily,0.22,Ongoing,-,-,-,8,27.5,,,,,0,0,0,,
2026-01-01,2026-02-18,"Tiffany Lyons",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",,,35,1,,10,Daily,2.84,Ongoing,-,-,-,35,81.142857,1,,2.84,2.857143,1,2.857143,2.84,1,2.84
2026-01-01,2026-02-18,Shanda,not_delivering,"7-day click, 1-day view, or 1-day engaged-view",,,4,1,,10,Daily,0.13,Ongoing,-,-,-,4,32.5,,,,,0,0,0,,
2026-01-01,2026-02-18,"Tired of empty chairs?",not_delivering,"7-day click or 1-day view",1,actions:leadgen.other,2071,1.244326,71.09,10,Daily,71.09,Ongoing,-,-,-,2577,27.586341,34,,2.090882,1.319364,68,2.638727,1.045441,1,71.09
2026-01-01,2026-02-18,"Classic Testimonials #2",not_delivering,"7-day click or 1-day view",,,5,1,,10,Daily,0.71,Ongoing,-,-,-,5,142,,,,,0,0,0,,
2026-01-01,2026-02-18,"Sizzle #2",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",,,59,1.033898,,10,Daily,1.82,Ongoing,-,-,-,61,29.836066,1,,1.82,1.639344,3,4.918033,0.606667,3,0.606667
2026-01-01,2026-02-18,"Brad Lea",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",,,5,1,,10,Daily,0.18,Ongoing,-,-,-,5,36,,,,,0,0,0,,
2026-01-01,2026-02-18,"Pace Morby",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",,,64,1.046875,,10,Daily,2.34,Ongoing,-,-,-,67,34.925373,,,,,0,0,0,,
2026-01-01,2026-02-18,"Storm Leroy",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",,,529,1.120983,,10,Daily,55.97,Ongoing,"Below average - Bottom 35% of ads",-,-,593,94.384486,11,,5.088182,1.854975,27,4.55312,2.072963,7,7.995714
2026-01-01,2026-02-18,"Sizzle #1",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",,,32,1.1875,,10,Daily,3.96,Ongoing,-,-,-,38,104.210526,4,,0.99,10.526316,4,10.526316,0.99,2,1.98
2026-01-01,2026-02-18,"Ajay - Copy",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",,,34,1.147059,,10,Daily,3.49,Ongoing,-,-,-,39,89.487179,3,,1.163333,7.692308,3,7.692308,1.163333,2,1.745
2026-01-01,2026-02-18,"Peter Snelle - Copy",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",,,9,1,,10,Daily,0.28,Ongoing,-,-,-,9,31.111111,3,,0.093333,33.333333,3,33.333333,0.093333,1,0.28
2026-01-01,2026-02-18,"Alanna - Copy",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",,,998,1.292585,,10,Daily,64.55,Ongoing,-,-,-,1290,50.03876,12,,5.379167,0.930233,24,1.860465,2.689583,11,5.868182
2026-01-01,2026-02-18,"David Testimonial - Copy",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",,,29,1.137931,,10,Daily,2.34,Ongoing,-,-,-,33,70.909091,3,,0.78,9.090909,3,9.090909,0.78,1,2.34
2026-01-01,2026-02-18,"""STOP"" Ad - Copy",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",1,actions:offsite_conversion.custom.26020366324235150,25,1,1.02,10,Daily,1.02,Ongoing,-,-,-,25,40.8,3,,0.34,12,3,12,0.34,3,0.34
2026-01-01,2026-02-18,"Pace Morby - Copy",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",,,381,1.149606,,10,Daily,16.07,Ongoing,-,-,-,438,36.689498,,,,,5,1.141553,3.214,,
2026-01-01,2026-02-18,"We Sell Out Events - Copy",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",1,actions:offsite_conversion.custom.26020366324235150,896,1.198661,52.46,10,Daily,52.46,Ongoing,"Below average - Bottom 35% of ads",-,-,1074,48.845438,30,,1.748667,2.793296,37,3.445065,1.417838,27,1.942963
2026-01-01,2026-02-18,"Pace Morby - Copy",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",3,actions:offsite_conversion.custom.1272107968054324,6160,1.418994,136.09,15,Daily,408.27,Ongoing,Average,-,-,8741,46.707471,141,,2.895532,1.613088,225,2.574076,1.814533,112,3.645268
2026-01-01,2026-02-18,"The Muscle",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",,,11,1.090909,,12,Daily,0.65,Ongoing,-,-,-,12,54.166667,,,,,0,0,0,,
2026-01-01,2026-02-18,"Tiffany Lyons",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",,,14,1,,12,Daily,0.45,Ongoing,-,-,-,14,32.142857,,,,,0,0,0,,
2026-01-01,2026-02-18,"Pace Morby",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",,,964,1.202282,,12,Daily,47.02,Ongoing,Average,-,-,1159,40.569456,6,,7.836667,0.517688,14,1.207938,3.358571,5,9.404
2026-01-01,2026-02-18,"Sizzle Testimonials - Short",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",,,18,1,,12,Daily,0.56,Ongoing,-,-,-,18,31.111111,,,,,0,0,0,,
